33.71480179,35.46360397,34.17903137
33.48042679,34.69120789,33.97999191
33.25001526,33.91403198,33.7901535
32.98721695,33.13536453,33.61818314
32.62981796,32.36827469,33.46767426
32.12850571,31.62386894,33.32880402
31.47423553,30.89662743,33.17458725
30.68322182,30.15757751,32.9653511
29.76864433,29.36743355,32.65877151
28.73568916,28.49374008,32.21696472
27.59843826,27.51379395,31.6064167
26.39082909,26.41875267,30.80118179
25.15768242,25.22429276,29.79623985
23.93430901,23.96513176,28.61456108
22.72577858,22.67542648,27.29406166
21.50510406,21.37384987,25.86369705
20.23798943,20.05836105,24.33259583
18.90614891,18.71247864,22.70837593
17.50873375,17.31989098,21.02156258
16.05311394,15.87813187,19.31835365
14.54719162,14.39892292,17.63174438
12.99614048,12.89102268,15.96781063
11.40247154,11.34628677,14.31077194
9.764913559,9.746564865,12.63322639
8.081058502,8.078391075,10.91093636
6.355974197,6.339152336,9.133098602
4.603090763,4.538203716,7.298776627
2.836122036,2.697971821,5.413617134
1.06759572,0.851508796,3.49534893
-0.686529875,-0.965329647,1.57903707
-2.408806801,-2.72498107,-0.283147186
-4.091583729,-4.415732861,-2.033138514
-5.740917206,-6.037352085,-3.638893843
-7.359701157,-7.586407185,-5.129087448
-8.927044868,-9.043684959,-6.573089123
-10.39955425,-10.37529755,-8.01294899
-11.72622967,-11.54264641,-9.433948517
-12.85488129,-12.50963593,-10.79248905
-13.73583508,-13.24085236,-12.04033566
-14.3243475,-13.69519615,-13.12841034
-14.56843185,-13.82977486,-14.01012611
-14.40910053,-13.61037064,-14.64441872
-13.8155489,-13.00954056,-14.99259949
-12.81309223,-12.00319099,-15.01616096
-11.4616518,-10.58741856,-14.67868233
-9.804027557,-8.794949532,-13.94292927
-7.83513689,-6.679309845,-12.76987553
-5.513786316,-4.283613205,-11.14028645
-2.802431822,-1.632416129,-9.074197769
0.284636557,1.252321362,-6.616463661
3.655148745,4.334058285,-3.820646524
7.160813332,7.549402237,-0.750973582
10.64683247,10.80524445,2.523174047
13.98815727,13.9945631,5.923738003
17.09325409,17.01937866,9.3449049
19.8874855,19.80293083,12.66086102
22.31568336,22.29445648,15.75597095
24.36559296,24.47001076,18.54838181
26.06011391,26.3190403,21.01198006
27.41731453,27.82632065,23.17536736
28.43940735,28.9669857,25.07311821
29.1357193,29.72015762,26.69670868
29.53276062,30.09791565,27.9987278
29.66283798,30.15765953,28.93651962
29.55745888,29.98046684,29.50734901
29.25957108,29.6492939,29.74523163
28.83782768,29.24088669,29.70670509
28.36985207,28.81920815,29.4771595
27.90896225,28.42895699,29.16896439
27.48952484,28.08644295,28.88476753
27.1560955,27.77663994,28.68021011
26.95550156,,28.56405449
26.89900398,,28.51391411
26.94355011,,28.48866081
,,28.457201
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
