34.58574677,36.93766403,37.05529785
34.18620682,36.78277969,36.22597504
33.76180267,36.62310028,35.39068985
33.30582428,36.46819687,34.57025528
32.82213974,36.32448959,33.80011749
32.30305862,36.13183594,33.1020546
31.72914124,35.74150467,32.46398544
31.08788872,35.02689362,31.84179878
30.38272285,34.02930832,31.17980385
29.62055588,32.92690277,30.42915916
28.79903221,31.85090065,29.55737686
27.90864563,30.80671501,28.55336761
26.93652725,29.74599266,27.42494011
25.86515999,28.62887192,26.18887901
24.67618942,27.43857193,24.86258507
23.36173439,26.17706108,23.46312523
21.93033791,24.84137917,22.00670242
20.40177727,23.41205025,20.50456619
18.80040359,21.87863922,18.95956421
17.15017319,20.26369476,17.36535454
15.46825123,18.60766602,15.71366787
13.76599121,16.93680573,14.0053854
12.05982208,15.25553322,12.24841213
10.3764782,13.56997108,10.44956875
8.74603653,11.89393425,8.612364769
7.184341431,10.22320557,6.736978531
5.670366287,8.541368484,4.827168941
4.150508881,6.86058712,2.901753664
2.576817751,5.22733736,0.991393447
0.934827805,3.673979759,-0.875660837
-0.761078298,2.176570415,-2.682420492
-2.483351469,0.678713322,-4.422945499
-4.202073574,-0.85353291,-6.097981453
-5.888927937,-2.413916826,-7.708145142
-7.51666069,-3.97811985,-9.245241165
-9.058818817,-5.527632713,-10.68791676
-10.48956394,-7.042023182,-12.00507355
-11.78314781,-8.475366592,-13.16450596
-12.91907787,-9.767765045,-14.14077091
-13.88468552,-10.8747139,-14.91308498
-14.65990162,-11.77200794,-15.45459366
-15.19975758,-12.45595837,-15.72597122
-15.43985462,-12.93750954,-15.67827225
-15.31831455,-13.21018314,-15.2652359
-14.78769588,-13.23046494,-14.45645237
-13.81510067,-12.93361282,-13.24026489
-12.39304256,-12.25432777,-11.61894798
-10.54734135,-11.14351749,-9.601698875
-8.315834045,-9.590780258,-7.199021816
-5.730376244,-7.627024651,-4.428563595
-2.829319954,-5.297031403,-1.330230236
0.323346406,-2.631518841,2.02652812
3.629544258,0.353392661,5.54269743
6.965198517,3.616936445,9.093131065
10.21009922,7.046909809,12.54898548
13.27924824,10.47075272,15.80505943
16.12400627,13.72105408,18.7807579
18.70993423,16.66945648,21.41781425
21.00669289,19.22260094,23.6913166
22.99511147,21.35162544,25.60018349
24.67063713,23.12779236,27.14434624
26.03979492,24.67782021,28.32493591
27.11557007,26.07804489,29.16016769
27.91274643,27.30136299,29.69178772
28.45173073,28.26239014,29.97775841
28.77262688,28.89378738,30.08148766
28.93496513,29.18652916,30.06399918
29.00197029,29.19034004,29.98176003
29.02795982,28.9969883,29.88805389
29.04273605,28.71735191,29.82791328
29.04124069,28.45631409,29.82303047
29.0003643,28.28883553,29.85864067
28.90555954,28.25050354,29.89300537
28.75888443,28.34619713,29.89206314
28.57053375,28.55435181,29.85870743
,28.82614708,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
