CONTROL,HIGH,MEDIUM,LOW
71.99096813,57.87933731,64.56026532,43.40623913
68.65537497,51.91036224,64.49094557,52.12522316
76.59340497,54.04833353,64.60848621,55.5218851
62.56721325,65.61298103,68.78352554,68.24515387
69.23986796,64.26164874,69.79687308,68.92382294
63.81994247,66.86145965,71.78983121,69.10589538
61.1777006,66.77338617,64.11759557,66.23026276
61.98122609,66.20329003,61.76215761,67.08895007
62.96835189,72.84480127,61.38904617,68.99394409
58.69806529,68.10692535,73.76770333,73.68799237
57.00273483,68.59107941,65.82267749,66.79289868
62.11345445,70.53101557,67.02609119,67.00170508
68.34371832,64.55990729,59.18295886,63.25707062
68.44602305,61.55825607,58.79554663,55.37412249
70.43364642,63.50772983,62.64885925,59.6984124
56.7890539,60.25812363,53.56786154,68.61061737
56.80563873,65.75099639,56.70565246,69.48337975
58.87875275,60.41826782,54.79436827,69.03025654
65.38043274,69.54643427,67.36940913,68.14378162
67.53851084,70.11058319,66.51374054,69.12236335
71.00493583,73.028604,66.30948639,69.00446788
64.16979065,69.48004693,64.73593353,61.75821686
67.15383911,72.78288017,67.15671089,61.56712435
66.10598395,70.00081464,67.87755585,59.73480957
71.69183948,63.63999573,,
69.63250558,60.28214785,,
66.96900192,61.34158893,,
