3.713267326,4.169778347,1.378403902,0.585960329,1.478839397,1.125751615,0.437913537,1.016437531,0.340563119,Average,Std Deviation
3.76043248432,4.317464712148,1.40781379694,,,,,,,3.1619036644693335,1.2610034822147433
3.80759764264,4.465151077296,1.43722369188,,,,,,,3.2366574706053335,1.3004013669813062
3.85476280096,4.612837442444,1.46663358682,,,,,,,3.3114112767413335,1.340664719318715
3.90192795928,4.760523807592,1.49604348176,,,,,,,3.386165082877333,1.3817178819480274
3.9490931176,4.9082101727400005,1.5254533767,,,,,,,3.4609188890133336,1.4234925227249684
3.99625827592,5.055896537888,1.5548632716400002,,,,,,,3.535672695149333,1.4659269628814329
4.04342343424,5.203582903036001,1.58427316658,,,,,,,3.610426501285334,1.508965539713087
4.0905885925600005,5.351269268184,1.61368306152,,,,,,,3.6851803074213336,1.5525580120788947
4.13775375088,5.498955633332001,1.64309295646,,,,,,,3.7599341135573336,1.5966590127478901
4.1849189092,5.64664199848,1.6725028514,,,,,,,3.8346879196933337,1.6412275486347716
4.23208406752,5.794328363628,1.70191274634,,,,,,,3.9094417258293332,1.686226547975174
4.27924922584,5.942014728776,1.73132264128,,,,,,,3.9841955319653333,1.731622452235123
4.3264143841600005,6.089701093924,1.76073253622,,,,,,,4.058949338101333,1.7773848498181883
4.37357954248,6.237387459072,1.79014243116,,,,,,,4.133703144237333,1.823486148269738
4.4207447008,6.36933553724,1.82699895372,,,,,,,4.20569306392,1.860625488805599
4.467909859120001,6.463511726656,1.881727382568,,,,,,,4.271049656114667,1.875678081579735
4.529311624906001,6.557687916072,1.936455811416,,,,,,,4.341151784131333,1.8912957878195737
4.5928225177240005,6.651864105488,1.991184240264,,,,,,,4.411956954492,1.9070078597108653
4.6563334105420005,6.746040294904,2.045912669112,,,,,,,4.482762124852666,1.9227402612062419
4.71984430336,6.84021648432,2.10064109796,,,,,,,4.553567295213334,1.9384924973332656
4.783355196178,6.934392673736,2.155369526808,,,,,,,4.624372465574,1.9542640884641853
4.846866088996,7.028568863152,2.210097955656,,,,,,,4.695177635934667,1.9700545697501946
4.910376981814,7.122745052568,2.264826384504,,,,,,,4.765982806295333,1.9858634905793437
4.973887874632,7.216921241984,2.319554813352,,,,,,,4.836787976656001,2.0016904140570304
5.03739876745,7.3110974314,2.3742832422,,,,,,,4.907593147016667,2.0175349165080436
5.100909660268,7.405273620816001,2.4290116710480003,,,,,,,4.978398317377334,2.0333965869991784
5.164420553086,7.499449810232,2.483740099896,,,,,,,5.0492034877380005,2.0492750268815008
5.227931445904,7.593625999648,2.538468528744,,,,,,,5.120008658098667,2.0651698493513617
5.291442338722,7.687802189064,2.593196957592,,,,,,,5.1908138284593335,2.081080679029324
5.35495323154,7.72078903216,2.67556247712,,,,,,,5.250434913606667,2.061030617111725
5.418464124358,7.710943332832,2.777273960124,,,,,,,5.302227139104666,2.0158383942096854
5.481975017176,7.701097633504,2.878985443128,,,,,,,5.354019364602666,1.9706971661339052
5.54756778011,7.691251934176,2.9806969261320004,,,,,,,5.406505546806,1.9256611048677343
5.61388467178,7.681406234848,3.0824084091360007,,,,,,,5.459233105254667,1.8807149492497934
5.68020156345,7.67156053552,3.1841198921400005,,,,,,,5.511960663703333,1.8358485108572824
5.74651845512,7.661714836192,3.2858313751440007,,,,,,,5.564688222152,1.7910677804751467
5.81283534679,7.651869136864,3.387542858148,,,,,,,5.617415780600666,1.7463793513007004
5.87915223846,7.642023437536,3.4892543411520003,,,,,,,5.670143339049333,1.7017904947427458
5.94546913013,7.632177738208,3.590965824156,,,,,,,5.722870897498001,1.6573092476354807
6.0117860218,7.62233203888,3.69267730716,,,,,,,5.775598455946667,1.6129445128563553
6.07810291347,7.612486339551999,3.794388790164001,,,,,,,5.8283260143953335,1.568706175726603
6.14441980514,7.602640640224,3.896100273168001,,,,,,,5.881053572844,1.5246052390458869
6.21073669681,7.592794940896,3.997811756172001,,,,,,,5.933781131292666,1.480653980186986
6.277053588479999,7.582949241567999,4.099523239176,,,,,,,5.986508689741332,1.4368661343754263
6.34337048015,7.4902118968,4.24288818366,,,,,,,6.025490186869999,1.3446347050710274
6.40968737182,7.38642233264,4.391806923008001,,,,,,,6.062638875822667,1.2469328655630354
6.47600426349,7.282632768479999,4.540725662356,,,,,,,6.099787564775333,1.1505557781487294
6.54232115516,7.17884320432,4.689644401704001,,,,,,,6.136936253728,1.0558662663008052
6.60050904617,7.075053640159999,4.838563141052001,,,,,,,6.171375275794001,0.9621466564607591
6.6535628315,6.971264076,4.987481880400001,,,,,,,6.2041029293,0.8700032960317309
6.70661661683,6.867474511839999,5.1364006197480006,,,,,,,6.236830582806,0.7808876971300608
6.75967040216,6.763684947679999,5.285319359096001,,,,,,,6.269558236312,0.6959639141562302
6.81272418749,6.659895383519999,5.434238098444,,,,,,,6.302285889817999,0.616965362027553
6.86577797282,6.55610581936,5.583156837792,,,,,,,6.335013543324,0.5464678031974759
6.9188317581500005,6.4523162552,5.73207557714,,,,,,,6.367741196830001,0.48816818390460276
6.97188554348,6.34852669104,5.8809943164880005,,,,,,,6.400468850336,0.4468664291234207
7.02493932881,6.24473712688,6.029913055836,,,,,,,6.433196503842001,0.427517659324003
7.07799311414,6.140947562719999,6.178831795184001,,,,,,,6.465924157348,0.433074365953225
7.13104689947,6.031047854903999,6.3281743092400005,,,,,,,6.496756354538,0.46462486948015125
7.1841006848,5.89263414336,6.4794944386,,,,,,,6.51874308892,0.5279689380564637
7.23715447013,5.754220431815999,6.630814567960001,,,,,,,6.540729823302001,0.6087472307466872
7.29020825546,5.615806720272,6.78213469732,,,,,,,6.562716557683999,0.7009580896938963
7.343262040790001,5.477393008727999,6.933454826680001,,,,,,,6.584703292066,0.800661200039781
7.39631582612,5.338979297183999,7.08477495604,,,,,,,6.606690026448,0.9053847426189778
7.43594413253,5.200565585640001,7.2360950854,,,,,,,6.624201601189999,1.009963543562506
7.461251928092,5.062151874095999,7.387415214760001,,,,,,,6.636939672316,1.1139510528223002
7.486559723654,4.9237381625520005,7.53873534412,,,,,,,6.649677743441999,1.2206094520101598
7.511867519216,4.785324451007999,7.690055473480001,,,,,,,6.662415814568,1.3292959858824658
7.537175314778,4.646910739464,7.841375602840001,,,,,,,6.675153885694001,1.4395513534862123
