CONTROL,HIGH,MEDIUM,LOW
0.853328926,2.27110857,4.74962315,-1.844837763
3.245479067,2.583586574,2.594934313,-2.258159473
2.25046749,2.328088979,3.562705779,-0.5886491
0.187629987,-4.577603897,1.770252098,3.702760643
-0.898509488,-2.855985876,2.729940084,3.775398461
-2.150342773,-4.598682124,3.120856547,4.953199199
-9.283769539,6.791546523,7.724693012,11.86149687
-3.677322507,6.309515388,6.901628306,8.900251196
-8.618400793,5.860130854,6.883152324,12.00751552
-0.360548157,-3.436588808,3.866906415,-4.875609339
0.802752429,-4.247026403,3.387065989,-0.321943054
-0.293359352,-6.470804335,2.580163931,-2.097411999
-7.377898045,4.02247231,8.680190417,-2.483030281
-8.151199979,3.112849803,8.151508111,0.927088986
-12.8101377,2.629673537,10.93459063,-1.326806486
0.786419402,0.083220356,-2.255169902,9.113870421
-2.037910665,-1.496969517,-2.668348627,10.64352461
-1.551173773,-2.756960911,-2.646599086,11.11181193
-6.002683339,4.543569388,5.210269821,1.16297632
-5.309440136,4.100089956,5.983141915,1.82708682
-4.404313471,3.986906207,5.423635433,1.421637975
0.148625674,2.473006755,-4.604880971,1.736681797
-0.347954002,2.553259021,-3.11345829,1.964016932
0.031886374,2.377044833,-3.127385554,2.297953941
-1.561748245,5.696445323,3.028898165,3.053931577
0.53638414,6.255779709,3.16168575,1.065019561
3.263640766,4.964786955,2.757669845,1.887832975
-1.934419428,6.450374536,-3.629755432,9.14544932
-1.513587208,8.988116837,-2.661088239,7.4440843
-2.656166027,8.672371771,-5.499902044,4.85754707
